,center_id,center_name,address,zip_code
81,69682,GATE Seocho 2021,서울특별시 서초구 서운로220,06609
82,70532,숲체험상아어린이집,경기도 고양시 덕양구 수역이길 52,10293
83,73913,해가빛어린이집,전라남도 순천시 원가곡길 75 관리동,57924
84,74377,레이크파크어린이집,경기도 수원시 영통구 광교호수로152번길23,16513
85,75504,대전해든학교 초등,대전광역시 대덕구 대청로 232,34315
86,75890,위즈아일랜드김포원 초등부,경기도 김포시 김포한강1로 250  4층,10078
87,80000,동화나라어린이집,충청북도 영동군 학산영동로1081-22,29153
88,80121,지예린유치원,경기도 화성시 병점동로 42번길 13-3,18409
89,81283,홀리게이트스콜라,서울특별시 양천구 목동중앙북로 24길 19-8,07969
90,81911,기탄 논현소래풍림교실,인천광역시 남동구 청능대로 718번길 7,21670
91,82796,안양엘림요양원,경기도 안양시 만안구 안양로 386-1,13990
92,33596,누베베어린이집,울산광역시 남구 수암로128번길 24,44749
93,35893,도담뜰어린이집,경기도 수원시 영통구 인계로 239,16537
94,36634,아이스타어린이집,경기도 동두천시 생연로 72,11344
95,40623,시립비전어린이집,경기도 평택시  성동로11번길 2,17896
96,40966,코끼리어린이집,경상남도 창원시 진해구 여좌남로49번길 9,51690
97,45010,공무원연금공단꿈오름직장어린이집,제주특별자치도 서귀포시 서호중앙로 63,63568
98,46180,감계아이숲어린이집,경상남도 창원시 의창구 북면 감계로 341 힐스테이트 2차 204동 102호,51111
99,48656,해피아이 어린이집,충청남도 아산시 배방읍 용연로 54,31464
100,49627,킨더바움어린이집,"경상북도 구미시 인동32길, 40-2",39410
101,49705,공동육아협동조합 바라쿱,"경상남도 김해시 삼계중앙로66, 301호(삼계동, 프라임빌딩)",50900
102,51417,가람슬기 어린이집,서울특별시 마포구 마포구 마포대로11길 44-81 1층(아현주민편익복합시설),04128
103,53616,그린나래어린이집,부산광역시 사상구 모라로110번길 88,46934
104,60764,꿈나무어린이집,대구광역시 중구 남산로7길 35,41977
105,60963,수원선일초등학교병설유치원,경기도 수원시 권선구 권중로120번길 17,16559
106,62090,애향어린이집,경상북도 의성군 의성읍 충효로 2-4,37339
107,62156,한빛어린이집,경기도 안양시 동안구 관평로336번길 12,13931
108,62554,해오름어린이집,서울특별시 관악구 남부순환로 1969,08802
109,63482,라온아이어린이집,경기도 광주시 태재로 20-30,12771
110,68762,하서초등학교병설유치원,전라북도 부안군 하서면 서당로 99,56333
111,69105,항도어린이집,부산광역시 연제구 연제로8번길 92,47601
112,70353,신일예지어린이집,경기도 이천시 증신로291번길 155  송정동 신일아파트 101동 103호,17344
113,82453,한양대 대호 태권도장,서울특별시 관악구 인헌6길 24 3층,08793
114,82496,또오기어린이집,"서울특별시 서대문구 연희로41길 102 3동 109호(홍은동, 미성맨션)",03648
115,83038,진성유치원,경기도 화성시 병점동835-1,18409
116,30189,산호아이숲어린이집,경기도 남양주시 진접읍 금강로 1530-13,12010
